s_m,x_m,y_m,z_m,heading_rad,curvature_radpm,slope_pct
185.0,799.246107991498,-279.92768488625467,0.0,-0.8776361371507767,-8.524574311550926e-05,0.0
186.0,799.8838161237645,-280.6954614006201,0.0,-0.8777220752659187,-8.658573216652992e-05,0.0
187.0,800.5214342112158,-281.46326482046175,0.0,-0.8778093944814851,-8.779925850982417e-05,0.0
188.0,801.1589610382501,-282.231095829589,0.0,-0.8778980950153114,-8.880918618041951e-05,0.0
189.0,801.796395389266,-282.99895511181063,0.0,-0.8779881440530994,-8.959196466802004e-05,0.0
190.0,802.4337361258218,-283.76684334066357,0.0,-0.8780790668158831,-9.014704557398185e-05,0.0
191.0,803.0709831416857,-284.5347610522666,0.0,-0.8781701060832944,-9.047436544094647e-05,0.0
192.0,803.7081370669625,-285.3027086847097,0.0,-0.8782609395940599,-9.057622021933578e-05,0.0
193.0,804.3451985476192,-286.0706866739717,0.0,-0.8783515603279878,-9.048883435782852e-05,0.0
194.0,804.9821682296225,-286.83869545603085,0.0,-0.8784419680574518,-9.030017575317738e-05,0.0
195.0,805.6190467589387,-287.60673546686604,0.0,-0.8785321625555179,-9.008731827720678e-05,0.0
196.0,806.2558347815344,-288.37480714245555,0.0,-0.8786221435959636,-8.987375022260054e-05,0.0
197.0,806.8925329433766,-289.1429109187781,0.0,-0.8787119109540286,-8.96599576506055e-05,0.0
198.0,807.5291418904314,-289.9110472318121,0.0,-0.8788014644056934,-8.944594148388836e-05,0.0
199.0,808.1656622686656,-290.6792165175363,0.0,-0.8788908037275418,-8.923170268649543e-05,0.0
200.0,808.8020947240461,-291.44741921192906,0.0,-0.8789799286976223,-8.901724223360694e-05,0.0
201.0,809.4384399025391,-292.21565575096906,0.0,-0.8790688390949257,-8.880256104990389e-05,0.0
202.0,810.0746984501112,-292.9839265706349,0.0,-0.8791575346988184,-8.858766011764021e-05,0.0
203.0,810.7108710127294,-293.7522321069049,0.0,-0.879246015290274,-8.837254041186927e-05,0.0
204.0,811.3469582363598,-294.5205727957579,0.0,-0.8793342806509886,-8.815720286567011e-05,0.0
205.0,811.9829607669693,-295.2889490731722,0.0,-0.879422330563432,-8.794164846450046e-05,0.0
206.0,812.6188792505246,-296.0573613751267,0.0,-0.8795101648114502,-8.772587817014652e-05,0.0
207.0,813.254714332992,-296.8258101375995,0.0,-0.8795977831794801,-8.750989294128589e-05,0.0
208.0,813.8904666603383,-297.5942957965695,0.0,-0.8796851854531873,-8.729369377325727e-05,0.0
209.0,814.52613687853,-298.3628187880152,0.0,-0.8797723714190598,-8.707728161911581e-05,0.0
210.0,815.1617256335337,-299.13137954791506,0.0,-0.8798593408644146,-8.686065744683319e-05,0.0
211.0,815.7972335713163,-299.8999785122477,0.0,-0.879946093578026,-8.66438222430805e-05,0.0
212.0,816.4326613378438,-300.66861611699164,0.0,-0.8800326293492202,-8.642677697531402e-05,0.0
213.0,817.0680095790833,-301.43729279812544,0.0,-0.8801189479683296,-8.62095226358352e-05,0.0
214.0,817.7032789410013,-302.20600899162775,0.0,-0.8802050492268564,-8.599206020535164e-05,0.0
215.0,818.3384700695643,-302.974765133477,0.0,-0.8802909329172142,-8.577439064141481e-05,0.0
216.0,818.9735836107388,-303.74356165965173,0.0,-0.8803765988326874,-8.555651494206767e-05,0.0
217.0,819.608620210492,-304.5123990061307,0.0,-0.8804620467676888,-8.533843410433013e-05,0.0
218.0,820.2435805147896,-305.28127760889225,0.0,-0.8805472765176268,-8.512014909423103e-05,0.0
219.0,820.8784651695988,-306.05019790391503,0.0,-0.8806322878785993,-8.490166090216862e-05,0.0
220.0,821.5132748208862,-306.81916032717754,0.0,-0.8807170806481395,-8.468297052893757e-05,0.0
221.0,822.148010114618,-307.5881653146584,0.0,-0.8808016546245071,-8.446407894949611e-05,0.0
222.0,822.7826716967612,-308.3572133023361,0.0,-0.8808860096068827,-8.424498716649456e-05,0.0
223.0,823.4172602132824,-309.12630472618935,0.0,-0.8809701453956492,-8.402569618276567e-05,0.0
224.0,824.0517763101479,-309.8954400221965,0.0,-0.8810540617921321,-8.380620696729624e-05,0.0
225.0,824.6862206333245,-310.6646196263363,0.0,-0.8811377585984764,-8.35865205357738e-05,0.0
226.0,825.3205938287789,-311.43384397458703,0.0,-0.8812212356180805,-8.336663788724044e-05,0.0
227.0,825.9548965424774,-312.2031135029276,0.0,-0.8813044926552169,-8.314655999776464e-05,0.0
228.0,826.5891294203868,-312.9724286473363,0.0,-0.8813875295149718,-8.292628789691963e-05,0.0
229.0,827.2232931084739,-313.7417898437918,0.0,-0.8814703460039188,-8.270582257445338e-05,0.0
230.0,827.8573882527046,-314.51119752827265,0.0,-0.8815529419290344,-8.248516501727485e-05,0.0
231.0,828.4914154990464,-315.2806521367573,0.0,-0.8816353170987156,-8.226431626431488e-05,0.0
232.0,829.1253754934653,-316.05015410522446,0.0,-0.8817174713224498,-8.204327729651897e-05,0.0
233.0,829.759268881928,-316.81970386965264,0.0,-0.8817994044101495,-8.182204912133522e-05,0.0
234.0,830.3930963104015,-317.5893018660203,0.0,-0.8818811161733898,-8.160063277638598e-05,0.0
235.0,831.0268584248518,-318.3589485303061,0.0,-0.8819626064244993,-8.137902923259301e-05,0.0
236.0,831.6605558712457,-319.1286442984886,0.0,-0.8820438749765426,-8.115723951045746e-05,0.0
237.0,832.2941892955502,-319.8983896065463,0.0,-0.8821249216441094,-8.09352646454526e-05,0.0
